id,dateiso,entry
1136,1981-01-27,ETAm reivindica el quinto atentado contra las instalaciones y dependencias de Iberduero en la provincia de Guipuzcoa
1137,1981-01-28,ETAm expone en un comunicado su opinion sobre el tema de Navarra y su incorporacion al Pais Vasco
1138,1981-01-29,comunicado de HB rechazando el viaje de los Reyes a Euskadi
1139,1981-01-30,los comandos especiales Berezi de apoyo a ETAm reivindican el incendio de un autobus en Baracaldo (Vizcaya)
1140,1981-01-30,"ETA reivindica el secuestro del ingeniero de la central de Lemoniz Ryan, jefe de la explotacion de Iberduero [y solicita la demolicion de Lemoniz para su liberacion]"
1141,1981-01-30,1 persona muerta al explosionar una bomba en las instalaciones de Iberduero en Tudela (Navarra)
1142,1981-01-31,supuesto etarra muerto al accionar una bomba colocada junto a la subestacion de FENSA en Tudela (Pamplona)
1143,1981-02-01,3 militantes de EE detenidos en Indauchu cuando pegaban carteles a favor de la libertad de los presos
1144,1981-02-03,granadas anticarro contra un cuartel de la G.C. en San Sebastian
1145,1981-02-04,HB intensifica en Guipuzcoa su campana contra la presencia de los Reyes en Euskadi
1146,1981-02-05,8 detenidos en Bilbao durante una manifestacion no autorizada en protesta por la visita de los Reyes a Euskadi
1147,1981-02-05,paros laborales y barricadas en Guipuzcoa ante la visita de los Reyes a Euskadi
1148,1981-02-06,cuatro cargas de goma-2 hacen explosion en instalaciones de Iberduero en Guipuzcoa
1149,1981-02-07,secuestro de dos horas del industrial Egana por miembros de ETA
1150,1981-02-11,6 kilos de goma-2 destruyen un transformador electrico en Navarra
1151,1981-02-13,tiroteada una comisaria en Basauri (Vizcaya)
1152,1981-02-14,"posible huelga general en Euskadi tras la muerte, por preuntas torturas, del miembro de ETAm Arregui"
1153,1981-02-17,manifestaciones en el Pais Vasco en protesta por la muerte del miembro de ETAm Arregui
1154,1981-02-17,"mas de 10,000 personas asisten al funeral de Arregui, en Cizurquil (Guipuzcoa)"
1155,1981-02-18,continua la huelga de hambre de 140 presos de ETA en protesta por la muerte de Arregui
1156,1981-02-18,la policia de Madrid impide un acto en memoria de Arregui
1157,1981-02-18,valoracion positiva de los partidos vascos a la jornada de protesta en Euskadi por las muertes de Ryan [muerto POR ETA] y Arregui
1158,1981-02-19,2 artefactos explosivos contra instalaciones de Iberduero en Baracaldo y Urnieta
1159,1981-02-20,disturbios ante la Audiencia Nacional durante dos juicios contra presuntos miembros de ETA y GRAPO
1160,1981-02-20,2 concejales de HB instalan sus despachos en un pasillo protestando por el control en el Ayuntamiento de Bilbao
1161,1981-02-21,ETApm secuestra a los consules de Austria y El Salvador en Bilbao y al de Uruguay en Pamplona
1162,1981-02-21,absuelta una militante de la ANPG tras llamar cacique al alcalde de Vigo
1163,1981-02-22,comunicado de ETApm reafirmandose en la lucha armada
1164,1981-02-22,40 personas ocupan pacificamente RNE en San Sebastian para emitir un comunicado en euskera
1165,1981-02-24,"nacionalistas provocan incidentes en la clausura del Congreso Internacional sobre ""El hecho gallego"""
1166,1981-03-01,atentado contra un transformador de Iberduero en Liboa (Vizcaya)
1167,1981-03-04,"ETAm reivindica el atentado registrado el dia 1 en Portugalete, en el que resultaron heridas 3 personas"
1168,1981-03-04,ETAm insiste que continuara su actividad armada
1169,1981-03-06,el comisario de policia Raimundo ha sido asesinado ayer en el barrio bilbaino de Deusto
1170,1981-03-07,"la G.C. ha localizado ayer 10k de goma-2, varios de metralla y una pistola en un vehiculo en Tafalla (Navarra)"
1171,1981-03-11,se han producidos 3 atentados en estes dos ultimos dias contra instalaciones de Iberduero en Euskadi
1172,1981-03-15,detenidos los miembros de ETAm que lanzaron una granada contra la Moncloa
1173,1981-03-17,descubierto un deposito de explosivos de ETApm en Tolosa (Navarra)
1174,1981-03-17,"un simpatizante de ETAm, Cajidos, mantiene secuestrado 7 horas a un policia tras un fracasado robo de armas"
1175,1981-03-17,"la policia impide un acto de homenaje organizado por HB a Telesforo Monzon, que habia sido prohibido por el Gobierno"
1176,1981-03-20,"el teniente coronel Romeo recibe un tiro en la cabeza, disparado por una joven en Bilbao [muere]"
1177,1981-03-20,una comision civica pide que se incremente la emision de programas en lengua catalana
1178,1981-03-21,nueva amenaza de ETAm a los tecnicos de Lemoniz
1179,1981-03-22,"ETAm intensifica su campana contra Iberduero, constructora de la central nuclear de Lemoniz"
1180,1981-03-22,ETApm amenaza con reanudar sus actividades por no estar de acuerdo en las propuestas de pacificacion politica
1181,1981-03-22,"asesinado en Pamplona el teniente coronel Prieto, ex jefe de la Policia Foral de Navarra"
1182,1981-03-25,colocadas 2 bombas contra Iberduero en Santurce y Baracaldo (Vizcaya)
1183,1981-03-28,asalto frustrado a la carcel de mujeres de Barcelona por supuestos miembros de ETApm
1184,1981-03-28,"ETAm reivindica la muerte de Juan Costas, supuesto traficante de drogas, en Tolosa"
1185,1981-03-31,un presunto etarra [Aristimurio] ha resultado muerto en un enfrentamiento con la policia en Vitoria
1186,1981-03-31,la Policia Nacional ocupa Hernani para impidir manifestaciones y asambleas tras la muerte del etarra Aristimuno
1187,1981-04-03,descubierta una importante base operativa de ETAm en un caserio de Eskoriaza (Guipuzcoa)
1188,1981-04-04,"el secretario general del PC de Euskadi, Lertxundi, secuestrado por dos horas por un comando de apoyo a ETA"
1189,1981-04-04,"comando terrorista sorprendido en Vizcaya cuando preparaba un atentado, siendo detenido uno solo de sus componentes"
1190,1981-04-05,una llamada anonima permite localizar 23 kilos de goma-2 en un agujero empleado por ETA como deposito cerca de Vitoria
1191,1981-04-05,"los comandos de apoyo a ETAm que secuestraron a Lertxundi, del PC de Euskadi, amenazan con nuevas acciones contra este"
1192,1981-04-05,ETAm suplanto al movimiento antinuclear en su protesta contra la central nuclear de Lemoniz
1193,1981-04-09,nueva amenaza de ETAm a tecnicos de la central nuclear de Lemoniz
1194,1981-04-10,descubierta una carcel del pueblo en Pamplona
1195,1981-04-12,Terra Lliure lanza un artefacto contra las instalaciones de FECSA en el centro de Tarrasa
1196,1981-04-14,la policia impide una manifestacion no autorizada de las gestoras pro amnistia en San Sebastian
1197,1981-04-14,grupos nacionalistas de izquierdas crean una coalicion electoral para defender la autodeterminacion valenciana
1198,1981-04-15,asesinado en San Sebastian un teniente de Infanteria retirado
1199,1981-04-15,asesinado el director de la factoria de Moulinex Espana en Usurbil
1200,1981-04-15,la familia de Luis Suner pago 341 millones de pesetas por la liberacion del industrial
1201,1981-04-16,enterrado en su pueblo natal riojano un teniente coronel de la G.C. asesinado por ETA
1202,1981-04-19,HB mantiene su convocatoria del Aberri Eguna pese a la prohibicion del Gobierno Civil
1203,1981-04-21,ETAm reivindica la colocacion de una nueva bomba en Iberduero que deja sin luz a un barrio de Bilbao
1204,1981-04-23,explosion de un artefacto en una instalacion electrica de Iberduero deja sin fluido electrico a Eibar
1205,1981-04-25,campana de HB para oponerse a la extradicion de 6 presuntos terroristas refugiados en Francia
1206,1981-04-28,2 cargas explosivas contra Iberduero dejan sin luz a un barrio de San Sebastian
1207,1981-04-30,"atentado, el 61 en lo que va de ano, contra un transformador de Iberduero en Berriz"
1208,1981-05-01,un atentado contra dos torres de Iberduero dej sin luz a parte de Vizcaya y Santander
1209,1981-05-02,efectivos militares hallan una bolsa con armamento en un monte de Navarra
1210,1981-05-06,ETAm reivindica las voladuras de Iberduero en Logrono
1211,1981-05-07,los miembros de ETAm encarcelados en Carabanchel mantienen una huelga de hambre
1212,1981-05-08,"un teniente general, jefe del Cuarto Militar del Rey, gravemente herido en atentado en Madrid"
1213,1981-05-08,ETAm asesina en el centro de Madrid a tres militares al servicio directo del Rey
1214,1981-05-10,registrados nuevos cortes de luz en Guipuzcoa por bombas contra Iberduero
1215,1981-05-12,la policia aborta un intento de fuga de Carabanchel planificado por ETApm deteniendo a 8 personas y requisando material
1216,1981-05-14,"1 policia nacional resulta herido en Hernani por el presunto miembro de ETA, Apala"
1217,1981-05-15,2 g.c. resultan muertos en un atentado perpetrado en la localidad vizcaina de Lemona
1218,1981-05-16,ETAm reivindica la autoria del atentado contra una torre de tendido electrico en Zumarraga
1219,1981-05-22,herido en atentado por dos desconocidos el profesor Losantos
1220,1981-05-27,descubierto un tunel en construccion en el itinerario del desfile militar del domingo en Barcelona
1221,1981-06-02,celebracion en Azpetia (Guipuzcoa) del Gudari Eguna (Dia del Soldado) organizado por el PNV
1222,1981-06-02,huelga de hambre en Estocolmo de dos antiguos miembros de MPAIAC a fin de conseguir el asilo politico en Suecia
1223,1981-06-02,detencion de 18 personas en Pontevedra durante una manifestacion no autorizada contra la represion de la lengua gallega
1224,1981-06-07,ETAm reivindica el atentado contra un convoy de la Policia Nacional en San Sebastian el 5 de junio
1225,1981-06-10,comunicado de ETAm considerando como irreversible la fase en que se encuentra Euskadi
1226,1981-06-14,presentacion de 252 solicitudes para la instalacion de emisoras de radio en Cataluna
1227,1981-06-16,la policia Garcia muere en Zarauz (Guipuzcoa) a consecuencia de los disparos de un comando de ETAm [durante una operacion contra ETA]
1228,1981-06-17,"en preparacion un acto de masas de caractrer cultural en defensa de la lengua, la cultura y la nacion catalana"
1229,1981-06-20,ETAm reivindica la voladura de una torre de alta tension en San Miguel de Aralar (Pamplona) el 16 de junio
1230,1981-06-21,cerca de 30 personas con profesiones liberales de Alava obligados a pagar el impuesto revolucionario a ETAm
1231,1981-06-23,muere un coronel retirado del arma de Infanteria en un atentado en Irun el 22 de junio
1232,1981-06-23,"cerca de 40,000 personas participan en la marcha navarra de apoyo a las ikastolas y a la lengua vasca"
1233,1981-06-24,el grupo independentista y ecologista Terra Lliure reivindica 3 atentados contra FECSA
1234,1981-06-25,asesinados dos jovenes de 26 anos en Tolosa (Guipuzcoa) por varios desconocidos que gritaban vivas a ETAm
1235,1981-06-25,"4 heridos por la explosion de 50 kilos de goma-2 en la Universidad de Navarra, colocados presuntamente por ETAm"
1236,1981-06-25,"asistencia de cerca de 80,000 personas en el acto de afirmacion nacionalista celebrado en el Nou Camp [para el dia de San Juan; el fiscal traslada a la Audiencia Nacional la octavillas independentistas arrojadas en el Nou Camp]"
1237,1981-07-03,2 policias nacionales heridos leves en un atentado en Bilbao
1238,1981-07-05,reproduccion de los manifiestos de 1924 y de 25-1-1981 en defensa de la lengua y cultura catalanas
1239,1981-07-07,funerales por las victimas de dos atentados contra el g.c. Luis Miranda y el teniente Magin Fernandez
1240,1981-07-14,ETAm reivindica los atentados contra dos subestaciones de Iberduero
1241,1981-07-18,"6 artefactos destruyen otras tantas instalaciones de Iberduero en Guipuzcoa, deteriorando la red electrica"
1242,1981-07-21,"colocado un explosivo contra una central de Iberduero, quedando sin fluido electrico varios pueblos de Alava y Navarra"
1243,1981-07-24,"explosiones en dos subestaciones electricas de Alava y Navarra, filiales de Iberduero"
1244,1981-07-26,"asesinados en Amurrio (Alava) Galindez, dedicado a la compraventa de pisos [y un represante]"
1245,1981-07-26,"15,000 personas han participado en los actos celebrados en Santiago para conmemorar el Dia de la Patria Gallega"
1246,1981-07-28,manifestacion de familiares en contra del traslado de presos vascos
1247,1981-07-29,14 presos de ETAm del Puerto de Santa Maria inician una huelga de hambre
1248,1981-07-30,atentado contra una subestacion de Iberduero en la localidad de Euba (Vizcaya)
1249,1981-07-30,la policia impide una manifestacion en Bilbao contra el traslado de presos de ETA
1250,1981-07-31,"explosion de dos artefactos en un transformador de electricidad de Lejona, Vizcaya"
1251,1981-07-31,atentado contra un vehiculo de la G.C. en San Sebastian con dos heridos leves
1252,1981-07-31,varias cargas explosivas dejan sin suministro electrico al puerto de Pasajes
1253,1981-08-11,"homenaje a Blas Infante en el 45 aniversario de su fusilamiento, en la carretera Sevilla-Carmona"
1254,1981-08-13,puestos en libertad los 9 militantes del UPG detenidos en Santiago de Compostela por la pega de carteles
1255,1981-08-16,destruidas 2 subestaciones de Iberduero en Munguia por sendos artefactos de goma-2
1256,1981-08-20,nuevo atentado de ETA contra instalaciones de Iberduero en Ondarroa (Vizcaya)
1257,1981-08-21,Esquerda Galega solicita el reconocimiento del gallego como lengua del Principado de Asturias
1258,1981-08-26,nuevo atentado de ETA contra Iberduero en Elgoibar
1259,1981-08-26,90 presos de ETA inician una huelga de hambre en la prision de El Puerto de Santa Maria
1260,1981-08-30,un comando de ETAm roba documentos de una oficina de Iberduero en Tolosa
1261,1981-08-30,manifestacion en Bilbao en protesta por la central de Lemoniz y a favor de ETA
1262,1981-09-01,explosiona en Vitoria un artefacto bajo una pancarta alusiva a la situacion de los etarras trasladados a Cadiz
1263,1981-09-01,un grupo de abertzales boicotea un mitin de Garaikoetxea celebrado el pasado 31 de agosto en Santurce
1264,1981-09-02,celebracion el proximo dia 8 del Dia de Asturias
1265,1981-09-02,huelga de hambre en Francia de 3 presuntos etarras cuyas extradiciones han sido solicitadas
1266,1981-09-04,"octavillas en Ceuta del MLS invitando a luchar contra el ""colonialismo espanol"""
1267,1981-09-11,estallan 6 bombas en edificios publicos de Cataluna y el Pais Valenciano
1268,1981-09-11,criticas a la actuacion de las FOP en la manifestacion por amnistia convocada en San Sebastian
1269,1981-09-12,"100,000 personas se manifiestan en apoyo del nacionalismo catalan"
1270,1981-09-12,"10,000 personas se manifiestan en apoyo del nacionalismo catalan [el Dia de Cataluna--Diada]"
1271,1981-09-13,"2 g.c., heridos en Guipuzcoa por una carga explosiva"
1272,1981-09-16,atentado en Pamplona contra la empresa electrica FENSA
1273,1981-09-16,Pamplona sufre un corte en el suministro electrico debido a una explosion en una subestacion
1274,1981-09-29,19 detenidos en la convocatoria de HB con motivo del Dia del Soldado Vasco
1275,1981-09-29,"mas de 100,000 personas asisten a la celebracion del Alderdi Eguna"
1276,1981-10-03,"la policia de Santander atribuye a ETA el sabotaje del buque [destructor] ""Marques de la Ensenada"" "
1277,1981-10-04,disuelta una manifestacion anti-OTAN en Bilbao en la que se profirieron gritos a favor de ETA
1278,1981-10-04,cronica del acto homenaje a Joan Fuster en la plaza de toros de Valencia
1279,1981-10-06,50 miembros de HB irrumpen violentemente en el Ayuntamiento de Vitoria
1280,1981-10-08,el arzobispo de Pamplona hace publica una nota afirmando que el considera al euskera la lengua oficial de Navarra
1281,1981-10-10,celebracion de la procesion civica del 9 de octubre en medio de insultos a las autoridades [Diada]
1282,1981-10-11,"intento de sabotaje al buque militar ""Sit"""
1283,1981-10-11,g.c. herido levemente en Guipuzcoa durante un tiroteo con desconocidos
1284,1981-10-11,"mas de 30,000 personas sin luz en Navarra debido a un atentado"
1285,1981-10-14,el Gobierno vasco convoca una movilizacion popular a favor del Estatuto de Guernica
1286,1981-10-18,muerte en atentado de un g.c. en Santurce
1287,1981-10-22,muerte de 2 miembros de ETA en un tiroteo con la G.C. en Renteria
1288,1981-10-24,la G.C. descubre un alijo de armas de ETA en Vitoria
1289,1981-10-24,atentado de bomba en el edificio de las mutualidades laborales de Barcelona
1290,1981-10-24,escasa repercusion de la huelga general en protesta por la muerte de miembros de ETA
1291,1981-10-25,estallan 2 explosivos de escasa potencia en Barcelona
1292,1981-10-27,ETA anuncia una ofensiva en represalia por las muertes de Gogor Josetxo
1293,1981-11-06,"3,000 personas aplauden en Madrid la fusion del PC vasco y EIA"
1294,1981-11-10,"6 pueblos guipuzcoanos se quedan sin fluido electrico tras el atentado contra una torre de alta tension de Iberduero [ETA relanza, con la colocacion de artefactos explosivos en instalaciones de Iberdueo, su campana contra Lemoniz]"
1295,1981-11-11,ametrallado el cuartel de la G.C. en Ondarroa
1296,1981-11-11,reivindicado por Terra Lliure el atentado contra el cuartel de la G.C. de Tarrasa
1297,1981-11-17,convocatoria de una concentracion catalanista para le 13 de diciembre
1298,1981-11-20,descubiertos 50 kilos de goma-2 en una casa cuartel de la G.C. en Algorta (Vizcaya)
1299,1981-11-21,atentado con varios kilos de goma-2 contra un transformador de Iberduero en Fuenterrabia
1300,1981-11-21,"convocada en Barcelona una concentracion pacifista ""por la paz y la libertad"""
1301,1981-11-22,una explosion de cuatro cargas derriba una torre de transporte de electricidad entre Gatika-Itxaso
1302,1981-11-24,robo de armas atribuido por el ministro frances de Defensa a ETA [mas de un centenar de armas en Foix]
1303,1981-11-27,el propietario de una armeria de Las Arenas Vizcaya muere en un atentado
1304,1981-11-28,"atentado contra un transformador de la empresa Echevarria de San Miguel de Basauri, en Vizcaya"
1305,1981-11-29,la accion de la policia frustra un intento de ETApm de volver a la lucha armada
1306,1981-12-04,explotan 4 artefactos de goma-2 junto a una torre de conduccion electrica de Fuerzas Electricas de Navarra [FENSA]
1307,1981-12-08,"6 heridos, 3 de ellos policias nacionales, al estallar una bomba en el centro de San Sebastian"
1308,1981-12-09,quemadas 2 banderas nacionales en pueblos de Malaga
1309,1981-12-10,380 profesores de instituto de Barcelona protestan por la detencion de supuestos miembros de Terra Lliure
1310,1981-12-12,un capitan de la G.C. resulta herido en un atentado en Guipuzcoa
1311,1981-12-13,"10,000 personas se manifiestan en favor de la bandera cuatribarrada y la denominacion de Reino de Valencia"
1312,1981-12-15,huelga de hambre de presos de ETAm para exigir que sean trasladados los que se encuentran en Puerto de Santa Maria
1313,1981-12-18,"los 7 etarras espanoles confinados en la isla de Yeu, Francia, inician un huelga de hambre"
1314,1981-12-20,refugio castrense destruido en un atentado de ETAm en Guipuzcoa
1315,1981-12-31,"secuestrado en Madrid el padre de Julio Iglesias, Julio Iglesias Puga, el pasado dia 29 por dos individuos"
1316,1982-01-02,"un comando armado se apodera de 6,000 carnes de identidad recientemente renovados en Tolosa"
1317,1982-01-02,3 personas resultan heridas por disparos de g.c. en Renteria al termino de una manifestacion pro amnistia
1318,1982-01-06,secuestrado por un comando armado el industrial vasco Lipperheide
1319,1982-01-09,Terra Lliure reivindica la colocacion de 2 artefactos explosivos en Barcelona
1320,1982-01-12,"1,000 personas se manifiestan en Segovia a favor de la autonomia uniprovincial"
1321,1982-01-16,varios alcaldes vascos se solidarizan con un alcalde nacionalista amenazado por ETAm
1322,1982-01-17,manifestaciones en el Pais Vasco en solidaridad con la huelga de hambre de presos vinculados a ETA
1323,1982-01-22,ETApm anuncia la celebracion de una asamblea para decidir el alto el fuego
1324,1982-01-23,tiroteado el almacen del industrial bilbaino Guisasola por negarse a pagarel impuesto revolucionario
1325,1982-01-23,"4 encapuchados, presumiblmente de ETA, roban en la sucursal del Banco de Vasconia en Pamplona"
1326,1982-01-24,Terra Lliure reivindica el atentado contra el cuartel de la G.C. en Tarragona
1327,1982-01-26,un jubilado de 65 anos de edad resulta herido en un atentado perpetrado en San Sebastian [es armador]
1328,1982-01-26,hacen explosion 2 artefactos en 2 oficinas de empresas de Guipuzcoa
1329,1982-01-28,asesinado en atentado en Ondarroa un policia municipal
1330,1982-01-30,la G.C. desactiva un artefacto explosivo colocado en un carretera vizcaina
1331,1982-01-30,ETAm vuelve a amenazar a tecnicos de Lemoniz en una emision de radio captada en Pamplona
1332,1982-01-30,la G.C. desactiva un artefacto explosivo colocado en una carretera vizcaina
1333,1982-01-31,un grupo de manifestantes proamnistia apedrea el Ayuntamiento de Portugalete
1334,1982-02-04,un teniente de navio herido grave por un atentado de ETAm perpetrado en Zarauz (Guipuzcoa)
1335,1982-02-07,la familia Lipperheide pago 120 millones de pesetas por la liberacion del industrial
1336,1982-02-11,5 detenidos en Bilbao cuando pegaban carteles referidos al aniversario de la muerte de Arregui
1337,1982-02-13,incidentes en Vizcaya y Guipuzcoa al cumplirse el primer aniversario de la muerte del etarra Arregui
1338,1982-02-14,jornada de lucha convocada por HB en el primer aniversario de la muerte del etarra Arregui
1339,1982-02-17,ETAm es la posible autora de los asesinatos de dos g.c. en Guipuzcoa
1340,1982-02-20,anuncio de la creacion en Valencia de una nueva coalicion nacionalista
1341,1982-02-27,ETApm rompe la tregua disparando una granada anticarro contra la comandancia de la G.C. de San Sebastian
1342,1982-03-02,ETAm solicita en una emision radiofonica datos para realizar atentados
1343,1982-03-06,los alumnos intentan boicotear un curso de euskera en el que se han inscrito 4 policias nacionales
1344,1982-03-07,ETApm lanza panfletos en Bilbao por medio de artefactos explosivos
1345,1982-03-09,encapuchados de ETA quemaron un bandera espanola en un mitin abertzale en San Sebastian
1346,1982-03-10,Bandres es detenido a raiz de la quema de una bandera espanola en un mitin de HB
1347,1982-03-10,huelga en las academias de lengua vasca por la inscripcion de policias nacionales en un curso
1348,1982-03-10,"3 jovenes quemaron una bandera nacional en Aguimes, al sur de Gran Canaria"
1349,1982-03-12,"la G.C desalojo a los alumnos encerrados en Fuenterrabia, en huelga contra la inscripcion de policias"
1350,1982-03-12,4 bombas explosionan en edificios publicos de Pamplona en la primea accion seria de ETApm tras su inactividad
1351,1982-03-16,un g.c. muere en un atentado terrorista en Renteria
1352,1982-03-18,explosion de un coche-bomba en Pamplona
1353,1982-03-23,asesinados en Sestao 2 policias y la novia de uno de ellos
1354,1982-03-23,"Beiras, decano de Economicas de Santiago de Compostela, es detenido en una manifestacion nacionalista"
1355,1982-03-24,ETAm asume el asesinato de un g.c. y la colocacion de varias bombas en Pamplona
1356,1982-03-30,"jornada de duelo en Telefonica por la muerte en atentado de ETA de Cuesta, delegado en Guipuzcoa"
1357,1982-03-31,"asesinado el doctor Carasa, jefe de Traumatologia en San Sebastian, que se nego a atender a un herido de ETA"
1358,1982-03-31,nuevo enfrentamiento en Carabanchel entre reclusos de las dos ramas de ETA
1359,1982-04-02,la coordinadora Accio Cultural convoca una manifestacion contra la politica linguistica del Gobierno en Valencia
1360,1982-04-07,"4,000 personas se manifiestan en Valencia a favor del bilinguismo"
1361,1982-04-13,la policia impide las concentraciones organizadas por los radicales con motivo del Aberri Eguna
1362,1982-04-13,PNV y EE conmemoran con normalidad el primer Aberri Eguna con caracter oficial
1363,1982-04-13,fuerte vigilancia en Navarra con motivo de la convocatoria ilegal del Aberri Eguna con algunos incidentes
1364,1982-04-14,el grupo terrorista ceuti Movimiento de Liberacion de Sebta reparte en Ceuta octavillas promarroquies
1365,1982-04-15,el g.c. Tarancon ha resultado herido leve en un ataque de ETAm al cuartel de Intxaurrondo
1366,1982-04-15,ETAm coloca una pancarta de grandes dimensiones de caracter independentista en el centro de Pamplona
1367,1982-04-17,lanzamiento fallido en Barcelona de una granada rompedora contra un microbus de jefes y oficiales por parte de ETA
1368,1982-04-17,ETAm da un ultimatum al Gobierno para que el ejercito y la G.C. abandonen el Pais Vasco antes de un mes
1369,1982-04-18,ETAm ataca una tanqueta de la policia nacional con una granada anticarro en Pamplona matando a un policia e hiriendo a 6
1370,1982-04-18,2 nuevos atentados de ETAm en Vizcaya con resultado de un g.c. herido grave y otro leve
1371,1982-04-19,ETAm coloca 170k de explosivos en la central de Telefonica de Rios Rosas destruyendo por completo las instalaciones
1372,1982-04-23,"6 encapuchados reparten en la estacion de Renteria ejemplares de Zuzen, boletin de ETAm"
1373,1982-04-23,"atentado de Terra Lliure contra un cuartel de la G.C. en Barcelona, resultando 2 g.c. heridos"
1374,1982-04-24,celebrado el dia de San Jordi en Cataluna como fecha clave de la normalizacion del catalan
1375,1982-04-25,hallados 10k de goma-2 en una factoria de Navarra
1376,1982-04-26,"18,000 personas participan en una concentracion nacionalista valenciana"
1377,1982-04-29,"ETAm emitio durante 37 minutos en FM para Guipuzcoa, responsibilizandose de los ultimos atentados"
1378,1982-05-01,atentado de bomba sin reivindicar a un transformador de Iberduero en San Sebastian
1379,1982-05-05,2 grupos de atacantes desconocidos tirotean la comisaria de Zumarraga
1380,1982-05-06,"ETAm asesina en Bilbao a Pascual Mujica, director del proyecto de la central de Lemoniz, el mismo puesto de Ryan"
1381,1982-05-07,ETA mantiene sus amenazas contra los familiares de los miembros de las Fuerzas de Seguridad del Estado
1382,1982-05-10,ETA anuncia que realizara nuevos atentados contra Lemoniz
1383,1982-05-13,"70,000 personas sufren un apagon en San Sebastian debido a un atentado de ETA"
1384,1982-05-14,muertos 2 miembros de ETA cuando manipulaban una carga de goma-2 en Navarra
1385,1982-05-20,ETA ametralla el cuartel de la Policia Nacional en Baracaldo
1386,1982-05-20,atentado de ETA contra 2 transformadores de Iberduero
1387,1982-05-20,el gobernador de Navarra prohibe una carrera de promocion del euskera [permitida la carrera; inicio sin incidentes en Pamplona; un ex legionario dispara contra asistentes a un acto a favor del euskera; conclusion en San Sebastian de la carrera pedestre]
1388,1982-05-20,oposicion a la ortografia impuesta por la comision de bilinguismo de Valencia
1389,1982-05-24,ETA reitera sus amenazas contra las fuerzas de seguridad en el Pais Vasco
1390,1982-05-25,un atentado de ETA deja sin la primera cadena a la TVE de San Sebastian
1391,1982-05-28,militantes de izquierda nacionalista ocupan Radio Nacional de Valencia
1392,1982-05-29,protestas y encierros de entidades culturales en el Pais Valenciano por la politica linguistica de UCD
1393,1982-05-30,profesores y entidades culturales piden la dimision de la consejera de Educacion de Valencia por la ortografia impuesta
1394,1982-05-31,protestas por la supresion del unico programa en valenciano emitido por Radio Nacional
1395,1982-06-01,se da a conocer un atentado frustrado contra un cuartel de la Policia Nacional en San Sebastian ocurrido el 23 de mayo
1396,1982-06-03,atentado en Deusto contra una garita de la G.C.
1397,1982-06-03,"3 jovenes, posibles miembros de ETApm, secuestran en Bilbao a Allende y piden un rescate de 15 millones"
1398,1982-06-04,asesinado en Bilbao el coronel de Infanteria retirado Garcia
1399,1982-06-06,posible asesinato de ETA en la persona de un comerciante de vinos riojano afincado en Santurce
1400,1982-06-06,"jovenes abertzales interrumpen un acto religioso en la basilica de Begona, en Bilbao"
1401,1982-06-07,"atentados con explosivos, posiblemente de ETA, contra bancos e instalaciones de Iberduero"
1402,1982-06-09,"heridos 2 g.c., en atentado, en Durango"
1403,1982-06-14,el atentado perpetrado contra un g.c. [murio] de Pasajes se realizo gracias a un fusil con mira telescopica
1404,1982-06-18,"autorizada en Bilbao una manifestacion de HB por la libertad de expresion [cerca de 20,000 personas;  probable multa a HB por los gritos a favor de ETAm en la manifestacion]"
1405,1982-06-19,explosion de 2 kilos de goma-2 en una sucursal del Banco de Vizcaya en Lasarte
1406,1982-06-22,atentado con goma-2 contra un transformador de Iberduero en Elgoibar
1407,1982-06-27,una bomba dirigida contra locales de Iberduero en Renteria hiere gravemente a un nino de diez anos
1408,1982-07-03,"ETAm anuncia ""acciones de respuesta"" tras ser heridos 4 de sus miembros al se trasladados por la policia"
1409,1982-07-03,incidentes en San Sebastian por la muerte del etarra herido en el atentado de Baracaldo
1410,1982-07-04,secuestrado el industrial Abaitua en su residencia de Zarauz
1411,1982-07-05,1 g.c. muerto y otro herido en un atentado en Navarra
1412,1982-07-08,un industrial repele en Tolosa (San Sebastian) la supuesta agresion de un comando de ETA
1413,1982-07-17,estallan 20 artefactos en edificios publicos del Pais Vasco [reivindicado por ETApm VIII Asamblea--21 bombas]
1414,1982-07-20,multa a los organizadores de una manifestacion en Pamplona en memoria de la victima de los sanfermines de 1978
1415,1982-07-23,"1 capitan y 1 teniente, heridos en un atentado contra un autobus militar en la localidad vizcaina de Derio"
1416,1982-07-25,limitaciones a la manifestacion en conmemoracion del Dia de la Patria Gallega
1417,1982-07-25,incidentes en las fiestas de Tudela al ser colocada una ikurrina
1418,1982-08-01,liberacion del industrial Abaitua en Llodio (Alava) tras el pago de un minimo de 25 millones de pesetas
1419,1982-08-09,"explosion de un artefacto, dirigido a distancia, junto a una patrullera de la Armada en Pasajes (Guipuzcoa) [ETApm VIII Asamblea]"
1420,1982-08-09,ETAm reivindica la voladura del pub Lurpe en Tolosa (Guipuzcoa) el 5 de agosto
1421,1982-08-09,comunicado de ETAm anunciando que atentara contra los traficantes de droga en el Pais Vasco
1422,1982-08-10,"ETApm amenaza con ""acciones de enverdura"" si se pone en funcionamiento la LOAPA"
1423,1982-08-11,un periodista amenazado
1424,1982-08-15,enfrentamientos fisicos y dialecticos entre militantes y simpatizantes de HB y PNV en San Sebastian
1425,1982-08-15,militantes de Esquerda Galega se manifiestan en Madrid en protesta por los vertidos de residuos nucleares en sus costas
